Customer_ID,Age,Gender,Education_Level,Marital_Status,Income_Category,Card_Category,Tenure_Months,Credit_Limit,Credit_Score,Avg_Utilization_Ratio,Revolving_Balance,Avg_Open_To_Buy,Total_Spend_12m,Avg_Transaction_Amount,Total_Trans_Count_12m,Months_Inactive_12m,Contacts_Count_12m,Num_Products,Total_Amt_Chng_Q4_Q1,Total_Ct_Chng_Q4_Q1,Payment_Ratio,Late_Payments_12m,Digital_Engagement_Score,Reward_Points_Balance,Travel_Spend_Pct,Dining_Spend_Pct,Intl_Spend_Pct,Cashback_Redeemed_12m,NPS_Score,Mobile_App_Logins_12m,Paperless_Billing,Autopay_Enrolled,Join_Date,Churn
AMEX0100000,59,M,Graduate,Single,Less than $40K,Gold,276,44981.61,399,0.4315,16514.48,28467.13,13233.93,102.59,129,0,1,2,1.1479,0.9368,0.571,0,40.78,273538,0.43,0.2721,0.1351,13.26,10,13,1,0,2020-11-27,0
AMEX0100001,40,F,High School,Married,Less than $40K,Green,97,8881.7,687,0.5519,4292.36,4589.34,7056.15,164.1,43,4,2,4,0.6327,0.794,0.7718,2,56.94,313358,0.0826,0.0063,0.127,394.88,5,62,1,1,2007-12-26,0
AMEX0100002,53,M,Post-Graduate,Divorced,$80K-$120K,Centurion,266,64311.52,802,0.1936,10082.21,54229.31,10993.07,57.26,192,6,3,3,0.854,0.8841,0.8605,0,72.85,198286,0.3778,0.0915,0.0231,289.75,3,65,1,0,2006-06-09,1
AMEX0100003,48,M,Graduate,Divorced,$40K-$60K,Blue,33,5172.23,489,0.2573,1049.46,4122.77,884.53,8.67,102,1,1,3,0.9041,0.8662,0.7815,0,64.96,67172,0.1424,0.0148,0.1829,502.68,1,223,1,0,2007-03-17,1
AMEX0100004,64,M,Some College,Married,$80K-$120K,Centurion,223,159232.45,579,0.3196,37591.74,121640.71,51307.93,417.14,123,2,3,2,0.8304,1.5667,0.5057,0,75.04,374705,0.4623,0.3509,0.0774,659.98,9,59,0,1,2005-09-20,0
AMEX0100005,25,F,Some College,Single,$80K-$120K,Platinum,42,89224.32,353,0.2494,18221.35,71002.97,24048.03,289.74,83,1,5,5,0.9259,0.958,0.6539,0,74.65,107450,0.1839,0.1061,0.0732,973.01,6,263,1,1,2003-07-28,0
AMEX0100006,48,M,Post-Graduate,Single,$120K+,Gold,152,22983.51,817,0.3803,6838.73,16144.78,7042.3,37.06,190,0,0,2,1.059,1.092,0.6319,0,29.04,209141,0.1797,0.1174,0.2428,810.11,9,12,0,0,2006-09-11,0
AMEX0100007,40,M,Post-Graduate,Divorced,$40K-$60K,Gold,269,16024.32,350,0.3939,785.21,15239.11,3401.11,19.0,179,0,1,2,1.7418,0.9073,0.5926,0,61.3,103481,0.0392,0.0101,0.2888,835.98,8,128,0,0,2023-02-19,0
AMEX0100008,74,F,Uneducated,Married,$60K-$80K,Blue,53,5767.55,546,0.3043,655.52,5112.03,1042.78,15.33,68,0,5,1,0.5257,1.645,0.8223,0,47.09,271967,0.4282,0.2635,0.0489,70.57,8,159,1,1,2004-09-20,1
AMEX0100009,53,M,Graduate,Divorced,$60K-$80K,Platinum,184,45547.08,311,0.3737,13206.55,32340.53,14308.22,160.77,89,0,1,3,1.0225,1.905,0.8034,0,58.78,70640,0.3882,0.1363,0.2792,858.41,6,12,1,0,2009-05-07,0
AMEX0100010,69,M,Graduate,Single,Less than $40K,Green,67,19378.12,375,0.3358,3217.28,16160.84,6171.7,43.16,143,0,1,3,1.6286,1.6874,0.6669,3,54.4,231915,0.4334,0.3354,0.1278,222.58,6,282,1,0,2002-04-24,1
AMEX0100011,39,F,Graduate,Divorced,$120K+,Green,141,16300.67,369,0.1282,624.79,15675.88,1277.25,70.96,18,1,0,2,0.5845,0.6782,0.8695,4,53.95,376965,0.4011,0.3912,0.1668,322.69,0,212,1,0,2024-12-25,0
AMEX0100012,40,F,Post-Graduate,Married,$60K-$80K,Gold,52,46293.43,311,0.1561,4462.15,41831.28,6166.67,45.68,135,1,0,5,1.9793,1.5472,0.4285,0,16.33,226156,0.0824,0.1645,0.2333,480.37,10,266,1,0,2011-10-27,0
AMEX0100013,47,M,Graduate,Married,$40K-$60K,Platinum,182,89854.18,736,0.4353,11455.09,78399.09,29391.56,269.65,109,0,0,4,1.6355,0.5703,0.7981,2,82.77,204625,0.1961,0.175,0.2712,348.26,7,334,1,1,2019-12-01,0
AMEX0100014,25,M,Uneducated,Married,$40K-$60K,Blue,290,9850.24,352,0.2386,1245.2,8605.04,1476.08,9.84,150,0,0,3,0.7728,1.0185,0.2767,0,67.03,341396,0.2744,0.2138,0.1068,894.22,3,217,1,0,2008-05-21,0
AMEX0100015,77,M,Post-Graduate,Divorced,Less than $40K,Blue,219,8546.51,552,0.1125,680.7,7865.81,925.46,12.02,77,2,0,2,1.57,1.8428,0.8731,0,76.32,247736,0.4204,0.0357,0.1606,233.22,6,24,1,1,2006-08-11,0
AMEX0100016,67,M,Graduate,Married,$40K-$60K,Green,233,9256.64,817,0.1593,537.16,8719.48,1087.1,9.06,120,0,0,2,0.741,0.7799,0.7783,5,40.72,238213,0.4875,0.1963,0.2169,820.86,8,202,1,0,2007-10-26,0
